"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39035","Cuyahoga County, Ohio",2011,0.5,0.6,0.6,0.8
"39041","Delaware County, Ohio",2011,1,0.9,1.5,0.9
"39043","Erie County, Ohio",2011,2.1,2.3,3.4,2.8
"39045","Fairfield County, Ohio",2011,1.4,1.8,2.3,2.6
"39049","Franklin County, Ohio",2011,0.7,0.6,0.8,1.1
"39055","Geauga County, Ohio",2011,2,1.2,2.3,2.4
"39057","Greene County, Ohio",2011,1.2,1.7,2.5,2.3
"39061","Hamilton County, Ohio",2011,0.8,1,1,1.1
"39063","Hancock County, Ohio",2011,2.8,3.3,3.1,3.8
"39081","Jefferson County, Ohio",2011,1.7,1.8,2.5,2.6
"39085","Lake County, Ohio",2011,0.9,1.5,1.4,1.4
"39089","Licking County, Ohio",2011,1.4,1.4,2.1,2.4
"39093","Lorain County, Ohio",2011,1.1,1.5,1.4,1.4
"39095","Lucas County, Ohio",2011,1.1,1.3,1.3,1.7
"39099","Mahoning County, Ohio",2011,1.2,1.6,1.4,1.7
"39101","Marion County, Ohio",2011,2.7,3.3,3,4.1
"39103","Medina County, Ohio",2011,1,1.3,1.6,2
"39109","Miami County, Ohio",2011,2.1,2.3,2.6,2.9
"39113","Montgomery County, Ohio",2011,1.1,1.1,1.3,1.4
"39119","Muskingum County, Ohio",2011,2,2.1,3,3.1
"39133","Portage County, Ohio",2011,1.4,1.9,2.3,2.6
"39139","Richland County, Ohio",2011,2,1.8,2.3,2.4
"39141","Ross County, Ohio",2011,2.7,3.9,3.5,3.6
"39145","Scioto County, Ohio",2011,3.1,3.2,4.5,5.3
"39151","Stark County, Ohio",2011,1.1,1.3,1.3,1.7
"39153","Summit County, Ohio",2011,0.9,1.1,1.1,1.2
"39155","Trumbull County, Ohio",2011,1.1,1.2,1.5,1.8
"39157","Tuscarawas County, Ohio",2011,2.8,2.6,2.4,3.1
"39165","Warren County, Ohio",2011,1.5,1.3,1.4,1.9
"39169","Wayne County, Ohio",2011,2,1.4,1.8,2.9
"39173","Wood County, Ohio",2011,1.3,1.8,2.2,2.8
"39061","Hamilton County, Ohio",2012,0.8,0.7,1,1.1
"39049","Franklin County, Ohio",2012,0.5,0.7,0.7,1
"39101","Marion County, Ohio",2012,2.6,2.1,3.6,4.2
"39157","Tuscarawas County, Ohio",2012,1.8,1.9,2.4,2.6
"39169","Wayne County, Ohio",2012,1.8,1.3,1.9,2.1
"39017","Butler County, Ohio",2012,0.9,1.1,1.2,1.6
"39089","Licking County, Ohio",2012,1.5,1.5,1.8,2
"39139","Richland County, Ohio",2012,1.8,2.5,2.4,3.2
"39063","Hancock County, Ohio",2012,2.1,2.4,2.7,3.7
"39025","Clermont County, Ohio",2012,1.4,1.3,1.5,2.1
"39045","Fairfield County, Ohio",2012,1.5,1.7,2.4,1.9
"39081","Jefferson County, Ohio",2012,1.8,2,2.5,3.1
"39133","Portage County, Ohio",2012,1.8,1.5,2.2,2.6
"39013","Belmont County, Ohio",2012,1.9,2,2.5,3.1
"39119","Muskingum County, Ohio",2012,2.4,2.3,2.6,2.8
"39103","Medina County, Ohio",2012,1.1,1,1.6,1.8
"39095","Lucas County, Ohio",2012,0.9,1.2,1.2,1.5
"39151","Stark County, Ohio",2012,0.8,1.1,1.3,1.4
"39041","Delaware County, Ohio",2012,1.2,0.8,1.4,1.2
"39055","Geauga County, Ohio",2012,1.6,1.8,2,2.2
