"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39001","Adams County, Ohio",2009,74.2,10.8,16.5,23
"39003","Allen County, Ohio",2009,87.5,9.2,10,15.4
"39005","Ashland County, Ohio",2009,85.5,6.6,5.5,15.2
"39007","Ashtabula County, Ohio",2009,83.8,8.7,13.5,16.1
"39009","Athens County, Ohio",2009,85,11.2,15.6,32.8
"39011","Auglaize County, Ohio",2009,89.1,5.5,5.1,7
"39013","Belmont County, Ohio",2009,86.3,7.5,11.4,15.4
"39015","Brown County, Ohio",2009,79.6,8.9,8,13.4
"39017","Butler County, Ohio",2009,86.2,7.4,9.1,12.7
"39019","Carroll County, Ohio",2009,83,6.4,6.4,12.3
"39021","Champaign County, Ohio",2009,88.3,6.8,9.5,11.6
"39023","Clark County, Ohio",2009,84.8,9,13.1,14.8
"39025","Clermont County, Ohio",2009,86.3,6.8,6,9.2
"39027","Clinton County, Ohio",2009,85.5,8.9,8.4,12.9
"39029","Columbiana County, Ohio",2009,84.5,9.5,12.1,15.2
"39031","Coshocton County, Ohio",2009,83.9,10.1,12.6,13.9
"39033","Crawford County, Ohio",2009,85.6,9.2,10.4,11.9
"39035","Cuyahoga County, Ohio",2009,85.5,10,12.4,16.4
"39037","Darke County, Ohio",2009,85,8.4,5.7,9.7
"39039","Defiance County, Ohio",2009,87.5,10.2,10.6,12.5
"39041","Delaware County, Ohio",2009,95,4,4.1,4.5
"39043","Erie County, Ohio",2009,87.9,7,8.6,12.1
"39045","Fairfield County, Ohio",2009,90.9,6.5,8.3,9.3
"39047","Fayette County, Ohio",2009,82.7,8.5,10.4,17.7
"39049","Franklin County, Ohio",2009,88.6,7.1,9.9,15.8
"39051","Fulton County, Ohio",2009,88.1,8.5,5.9,9.5
"39053","Gallia County, Ohio",2009,80.2,9.9,16.2,23
"39055","Geauga County, Ohio",2009,88.8,6.1,3.3,7.3
"39057","Greene County, Ohio",2009,91.1,6.3,7,10.8
"39059","Guernsey County, Ohio",2009,83.4,7.3,15.8,17.2
"39061","Hamilton County, Ohio",2009,86.8,7.3,9,14.2
"39063","Hancock County, Ohio",2009,90.6,5.3,7.1,11.6
"39065","Hardin County, Ohio",2009,86.5,7,7.8,15.5
"39067","Harrison County, Ohio",2009,83.8,6.6,13.3,19.1
"39069","Henry County, Ohio",2009,82.6,7.9,6.1,8.8
"39071","Highland County, Ohio",2009,80.5,9.9,12.5,14.9
"39073","Hocking County, Ohio",2009,83,7.9,12.4,15.5
"39075","Holmes County, Ohio",2009,54.2,3.9,4.2,11
"39077","Huron County, Ohio",2009,84.9,8.3,8.5,14
"39079","Jackson County, Ohio",2009,77,11.2,17.6,20.5
"39081","Jefferson County, Ohio",2009,86.4,7,14.2,17.6
