"county","year","mean_prev","lwr95_prev","upr95_prev"
"Alamance",2016,0.0377203928911377,0.0273655503231301,0.0507492735834878
"Alexander",2016,0.0654736774607246,0.0454739767019344,0.0910013893341883
"Alleghany",2016,0.0375576327433628,0.0239675516224189,0.0556784660766962
"Anson",2016,0.0245464948129519,0.0163470606727444,0.0351314445143037
"Ashe",2016,0.0558864433219433,0.0367701678799584,0.0812657851730798
"Avery",2016,0.0699728305549212,0.0486983329527289,0.0994533569308061
"Beaufort",2016,0.0596123974245676,0.0394310482683163,0.0860166014392122
"Bertie",2016,0.0373253953863201,0.0238239145764078,0.0558577616601189
"Bladen",2016,0.0420802614030408,0.0284512907145609,0.0599567292018612
"Brunswick",2016,0.0612904066859389,0.0389118413901208,0.09235701401306
"Buncombe",2016,0.0542443792758739,0.0366787002905251,0.0786138944425354
"Burke",2016,0.0682976668805078,0.0497234133549425,0.0932353040483506
"Cabarrus",2016,0.0507138221141922,0.0364946177885808,0.0672456471055112
"Caldwell",2016,0.0520870888531474,0.0372496899900551,0.0702651352380017
"Camden",2016,0.0418546362065656,0.0222691495488577,0.071702822038779
"Carteret",2016,0.0625566918275512,0.040063507040209,0.0952692698504863
"Caswell",2016,0.0350604103011785,0.0233085988651244,0.050459406372763
"Catawba",2016,0.061801896343451,0.0441582139729897,0.0836193507564282
"Chatham",2016,0.0261433536813255,0.0187976689783093,0.0355190122226375
"Cherokee",2016,0.0735493674968644,0.040207848055904,0.12302454757212
"Chowan",2016,0.0304901272335396,0.0164777862754641,0.0508934158381423
"Clay",2016,0.0580884196060467,0.0290426019239579,0.102977553825011
"Cleveland",2016,0.0452282158445195,0.0312731614922177,0.0633186300749403
"Columbus",2016,0.0605699707990443,0.0404198743474029,0.0869480576940094
"Craven",2016,0.0541799265310068,0.035496882401276,0.0790284692348591
"Cumberland",2016,0.0356473938256396,0.025824603288631,0.0486019955552431
"Currituck",2016,0.0443696811189895,0.0235954511991941,0.0756712774613507
"Dare",2016,0.0646927093760427,0.0377036758981203,0.105160716271827
"Davidson",2016,0.0538148606041497,0.0395084765288675,0.0708140317475716
"Davie",2016,0.0450076428724442,0.0315378573298741,0.0614333658629472
"Duplin",2016,0.0257150078854992,0.0166523936305516,0.0374947006054028
"Durham",2016,0.0308112164121589,0.0216417057463457,0.0422944724569906
"Edgecombe",2016,0.0299389249409205,0.0198994710979407,0.0437197569301174
"Forsyth",2016,0.0399502808799739,0.0291296892958755,0.0521305560266049
"Franklin",2016,0.0346051495247662,0.0234290240321459,0.0493018313886098
"Gaston",2016,0.0700391782084668,0.0482977669209319,0.0962275021316802
"Gates",2016,0.0363550182958704,0.019776964627984,0.0601150026136958
"Graham",2016,0.0644000233699463,0.0358728674924048,0.106453026408039
"Granville",2016,0.0418051278141993,0.0279844488489099,0.0595983466314309
"Greene",2016,0.0307535572562358,0.0193216175359033,0.0468631897203326
"Guilford",2016,0.0339563827134445,0.0244509235992557,0.0451846239426083
"Halifax",2016,0.0388286848510605,0.0262720704709655,0.0559445388865278
"Harnett",2016,0.0369937340026436,0.0263521825169429,0.0503207111803852
"Haywood",2016,0.0860340842424442,0.0561608055106951,0.128226245014996
"Henderson",2016,0.0433615967217995,0.0286660858601336,0.0640669737061002
"Hertford",2016,0.0381401972157773,0.0227461054027179,0.0602833941000994
"Hoke",2016,0.0259990312042357,0.0176861552326236,0.0367241185085051
"Hyde",2016,0.0462600507522204,0.0270074315751314,0.0739532354540511
"Iredell",2016,0.050842377223623,0.0381802435864813,0.0668995350343519
"Jackson",2016,0.0650338438957411,0.039439762316233,0.101799791671599
"Johnston",2016,0.0320226220945417,0.0219375816139984,0.0449784539044137
"Jones",2016,0.0485821330624683,0.030675469781615,0.0732351447435246
"Lee",2016,0.0563567330917874,0.0390834675254965,0.0800292706655931
"Lenoir",2016,0.0419214441516743,0.0274831172457117,0.060534053431518
"Lincoln",2016,0.0552852417208752,0.0400647422629608,0.074857702542874
"Macon",2016,0.0490015970444496,0.0335990225738888,0.0710088433791017
"Madison",2016,0.0361174601686973,0.0201030927835052,0.0589034676663543
"Martin",2016,0.0578366822026584,0.036078025202831,0.0888151648541343
"McDowell",2016,0.0439892290626733,0.0295945646145313,0.0636272878535774
"Mecklenburg",2016,0.0265339404741026,0.0192057051576787,0.0363840790265776
"Mitchell",2016,0.0841801203226233,0.0557979637709903,0.126603199788444
"Montgomery",2016,0.0478343861696696,0.0344654971186812,0.0651770734553943
"Moore",2016,0.046971640076846,0.0350398325258938,0.0626777585198797
"Nash",2016,0.0332621264826339,0.0224243391308973,0.0467001755225786
"New Hanover",2016,0.0612083813981377,0.036785572056935,0.0993678490086494
"Northampton",2016,0.02872095,0.01785,0.04345125
"Onslow",2016,0.0405951698230164,0.0259434315150479,0.0598551320964432
"Orange",2016,0.0297636513018703,0.0210157550283506,0.0416513864989139
"Pamlico",2016,0.056127025973013,0.0332247874580766,0.090086576710085
"Pasquotank",2016,0.0427520971302428,0.023478577162352,0.0709167419225366
"Pender",2016,0.0469340988322897,0.0318323743442207,0.0675918091047555
"Perquimans",2016,0.0356875065616798,0.0188976377952756,0.0605174353205849
"Person",2016,0.0568797449343244,0.0390998879951125,0.0804914214438448
"Pitt",2016,0.0382808492269496,0.0262890757250875,0.0542997404356168
"Polk",2016,0.0543182354676896,0.0330960460312777,0.0855734238221697
"Randolph",2016,0.0519775129692642,0.0385032004797233,0.0692741744296313
"Richmond",2016,0.0535888359776586,0.0391419479739202,0.0721422372549456
"Robeson",2016,0.0405129710661613,0.0283484069501257,0.0564872218260967
