"county","year","mean","lwr95","upr95"
"Haywood",2016,0.105601020307772,0.0677541111001001,0.154170381495875
"Henderson",2016,0.0939646657039653,0.0611254249164149,0.136458021186344
"Hertford",2016,0.106304442308822,0.0635105540338842,0.167750991568642
"Hoke",2016,0.105332328435962,0.0716157945405586,0.149535942236792
"Hyde",2016,0.121030650114209,0.0711912190147996,0.192945432685586
"Iredell",2016,0.100052444994595,0.0744205369036149,0.130428728366421
"Jackson",2016,0.0702518379098578,0.0424822677694902,0.110430910700772
"Johnston",2016,0.105406455152725,0.0729024007921355,0.148752730840793
"Jones",2016,0.11322303595664,0.0713762042750129,0.170500408038931
"Lee",2016,0.133734053827453,0.0909775591450553,0.186954023280423
"Lenoir",2016,0.121314632823878,0.0806357837321065,0.178258212274158
"Lincoln",2016,0.0885628826259673,0.0637893616205506,0.118922323364541
"Macon",2016,0.091928308084229,0.0615844623113353,0.129362869314039
"Madison",2016,0.0885669557844704,0.050407299224105,0.145450027445905
"Martin",2016,0.0971410291050136,0.0598434834136816,0.147090144724361
"McDowell",2016,0.105263364103425,0.0700476551090767,0.151218926468794
"Mecklenburg",2016,0.0590093735034782,0.0418638645322472,0.079561785573097
"Mitchell",2016,0.166356308988172,0.105665484672931,0.238301178346578
"Montgomery",2016,0.124381297424191,0.0888924336727768,0.167824507295835
"Moore",2016,0.11747743262048,0.0862356681362475,0.154103878013581
"Nash",2016,0.0857883412944066,0.0586810503274828,0.123574179346042
"New Hanover",2016,0.110472007493759,0.0643829892604345,0.174398262075272
"Northampton",2016,0.094062734001028,0.0586424187104381,0.143264437490723
"Onslow",2016,0.112647117582668,0.0726936397924105,0.169553659313081
"Orange",2016,0.105320924812833,0.0725563995886783,0.144904619856243
"Pamlico",2016,0.098358292056628,0.0569315482912385,0.155722142865879
"Pasquotank",2016,0.0771762076786657,0.0421085724547063,0.1308414130559
"Pender",2016,0.128115946952571,0.086167442492486,0.182067038797401
"Perquimans",2016,0.0997994571736009,0.0535236901277904,0.171883160007615
"Person",2016,0.159667429969205,0.107574819986869,0.224918070079535
"Pitt",2016,0.111514682069969,0.0759594600964607,0.156825439255537
"Polk",2016,0.140552845396654,0.084103561157058,0.216628773325256
"Randolph",2016,0.0882579537915641,0.0643785208274448,0.11674337107561
"Richmond",2016,0.13193312371199,0.0958193346422287,0.176422985802892
"Robeson",2016,0.108794936198726,0.0756948122322352,0.151043296849843
"Rockingham",2016,0.106373368725848,0.0755226138081938,0.148592891064989
"Rowan",2016,0.0830464142805086,0.0613915775025699,0.111338657900747
"Rutherford",2016,0.0858321942640923,0.0576591379204015,0.121191860862862
"Sampson",2016,0.100297510399691,0.0690968460392991,0.142178480142404
"Scotland",2016,0.122963696204259,0.0837654679040935,0.172937793340636
"Stanly",2016,0.103483589915014,0.0763219418370091,0.137731322858766
"Stokes",2016,0.0933925343229912,0.0647128518627446,0.132831200726483
"Surry",2016,0.10566741307981,0.0748561278887026,0.144997245777343
"Swain",2016,0.156165793824667,0.0954293131484973,0.240087591672343
"Transylvania",2016,0.103041214142723,0.0647293973805914,0.152365210355678
"Tyrrell",2016,0.104947042489707,0.0554599363732094,0.179383615428401
"Union",2016,0.0870622641801752,0.0616371521000684,0.1197470901114
"Vance",2016,0.117620028335747,0.0758926149585966,0.174608953737271
"Wake",2016,0.0977737483172762,0.069774678341415,0.134280214838238
"Warren",2016,0.0845598409592419,0.0538590659668006,0.125742888557597
"Washington",2016,0.122730816718521,0.07681092876121,0.185470546052557
"Watauga",2016,0.0829426739666197,0.055827116097005,0.118686291749657
"Wayne",2016,0.0987528650337647,0.0655483012840362,0.140149508216977
"Wilkes",2016,0.133800727234643,0.0990403377863494,0.17886371412071
"Wilson",2016,0.097605523504263,0.0651479930294818,0.13993798691029
"Yadkin",2016,0.103862229603293,0.0734663831559143,0.142485042055048
"Yancey",2016,0.125620337314798,0.0807946366122636,0.182316278842517
"Alamance",2017,0.112971479750206,0.0748397954981134,0.157326104589298
"Alexander",2017,0.188031820493733,0.119253037789333,0.280763307318645
"Alleghany",2017,0.174873355499946,0.0968986554915474,0.286434936475988
"Anson",2017,0.0988187629011196,0.0595504092028837,0.153708214750989
"Ashe",2017,0.199794774417233,0.114572408083327,0.317022530702209
"Avery",2017,0.226667616933231,0.145504244933809,0.334825473284153
"Beaufort",2017,0.189330393563058,0.120348371532714,0.281737738683205
"Bertie",2017,0.158537389162657,0.0945521819975456,0.247560284850804
"Bladen",2017,0.180948599904094,0.116793924488355,0.266787507831264
"Brunswick",2017,0.20240573036597,0.116492884685751,0.3183372685802
"Buncombe",2017,0.0822655510139261,0.0530653243827805,0.127516304969482
"Burke",2017,0.118317808552501,0.0811793182767862,0.169286349928748
"Cabarrus",2017,0.0990729056805762,0.0675023233392402,0.140701421279948
"Caldwell",2017,0.13036774774683,0.0850736615241759,0.190370416124551
"Camden",2017,0.154284601941243,0.0718747229021003,0.290562784896761
"Carteret",2017,0.219687378357508,0.129506995427952,0.345355720933359
"Caswell",2017,0.122022970141524,0.0736858104242488,0.183900535029419
"Catawba",2017,0.119557928763215,0.0787695968458113,0.173274607796249
"Chatham",2017,0.126597440074945,0.0862596509854525,0.17734462840073
"Cherokee",2017,0.131052053505216,0.0592872945346243,0.251872574142354
"Chowan",2017,0.134809117366196,0.0628013959666599,0.24811830960477
"Clay",2017,0.144460710960901,0.0598232305937077,0.289529564757957
"Cleveland",2017,0.127769283321155,0.0817945671806305,0.190343537309766
"Columbus",2017,0.212226715828173,0.133515611001761,0.317182205106227
"Craven",2017,0.1465580826573,0.093581838856859,0.222509723742689
"Cumberland",2017,0.0902335458255463,0.0614963002189081,0.128397536943024
"Currituck",2017,0.16014841177699,0.0707272584580947,0.307582459806355
"Dare",2017,0.255495318111016,0.126127667478184,0.450855606609545
"Davidson",2017,0.107619184714172,0.0745140224836487,0.149449775521767
"Davie",2017,0.110888602456009,0.0721945086349389,0.164340154411428
"Duplin",2017,0.151001810791275,0.0941736629999126,0.23091725595957
"Durham",2017,0.127539058592031,0.0841398221017347,0.179958168491318
"Edgecombe",2017,0.125378187684829,0.0788588169548898,0.187404620051913
"Forsyth",2017,0.0962209721454977,0.065251242238322,0.135681524206501
"Franklin",2017,0.138349528344826,0.0887613727064719,0.199697323502385
"Gaston",2017,0.127740291978964,0.0788936712914959,0.191057477153145
"Gates",2017,0.117648338094837,0.0569026148501773,0.218990275213273
"Graham",2017,0.161960821474191,0.0746882728133777,0.303584859006267
"Granville",2017,0.152752857285908,0.0954452418745035,0.223473256674792
"Greene",2017,0.127384405696346,0.0756094793819548,0.201945709724367
"Guilford",2017,0.0853792090555998,0.0566449365164624,0.1214749202059
"Halifax",2017,0.146038528646309,0.0930523698523956,0.215256187941598
"Harnett",2017,0.147751647292909,0.100873842486343,0.207953501515429
"Haywood",2017,0.128394365481947,0.0774676297318324,0.208521835951598
"Henderson",2017,0.11225386297569,0.0673585174846871,0.181191406664828
"Hertford",2017,0.143035072173316,0.0775393408331621,0.243337362827031
"Hoke",2017,0.143455593430976,0.0925901318872297,0.208778575369061
"Hyde",2017,0.181202695340121,0.0988516709693085,0.305484390963163
"Iredell",2017,0.135234490003568,0.0940870629794808,0.186565187278093
"Jackson",2017,0.0907621524312899,0.0487079744852075,0.155771243247147
"Johnston",2017,0.133408770409622,0.089681681762979,0.190630432558059
"Jones",2017,0.166951627381292,0.101075237870018,0.260618703481538
"Lee",2017,0.171949986862695,0.109721655905901,0.255375215867995
"Lenoir",2017,0.160025834847892,0.101212089265243,0.240401300892194
"Lincoln",2017,0.122630197702107,0.0818070080277583,0.178393766896975
"Macon",2017,0.119921877076681,0.074587776362989,0.18661211852853
"Madison",2017,0.102650979044972,0.0496388175737256,0.188961742226539
"Martin",2017,0.124086902330152,0.0702963817673154,0.21004326157675
"McDowell",2017,0.155001890448373,0.0990879363077959,0.227781179452361
"Mecklenburg",2017,0.0689646202605216,0.0440747116078394,0.100626417010264
"Mitchell",2017,0.249323001694261,0.144673416959791,0.395406191290252
"Montgomery",2017,0.171602441035734,0.11636259958727,0.243885445694763
"Moore",2017,0.16260775602327,0.115028639992136,0.217733053384765
"Nash",2017,0.119419669655936,0.0770149875035608,0.173909637585538
"New Hanover",2017,0.163109182085128,0.0892054224141468,0.26938689187596
"Northampton",2017,0.121778572689833,0.0695790275968002,0.196188430235801
"Onslow",2017,0.160636208172096,0.095716010701793,0.25056566908747
"Orange",2017,0.1397172625914,0.0891431379023139,0.20259380383071
"Pamlico",2017,0.154058595193832,0.0817855057406209,0.260824737609395
"Pasquotank",2017,0.117271580319536,0.0550651773761603,0.217594069021742
"Pender",2017,0.196894240752961,0.128271651947642,0.290145567507923
"Perquimans",2017,0.122569202734481,0.0549321567285423,0.230621218462177
"Person",2017,0.226884532566737,0.145363242827058,0.329402140772042
"Pitt",2017,0.146088518525123,0.0982132870848018,0.210119238643874
"Polk",2017,0.179685358471326,0.0928636609307958,0.308913754751821
"Randolph",2017,0.105675276402825,0.0738912601577571,0.147225770033707
"Richmond",2017,0.188272202672527,0.130703498349344,0.263541155748383
"Robeson",2017,0.159615999927272,0.10577749137891,0.226214886532561
"Rockingham",2017,0.144313657182835,0.0950278308641707,0.206856083212986
"Rowan",2017,0.10187813544109,0.0698172063961466,0.147083740283275
"Rutherford",2017,0.109200280926711,0.0691604489595402,0.165394353460284
"Sampson",2017,0.136117510489847,0.089923206520488,0.198652185689896
"Scotland",2017,0.166888527232073,0.106867628873303,0.243578014181281
"Stanly",2017,0.133569549655051,0.0930186518536846,0.188652576242511
"Stokes",2017,0.117033922625377,0.0741590201948201,0.177241770940001
"Surry",2017,0.147359479590491,0.0937453934513747,0.217723835530385
"Swain",2017,0.194847920269276,0.100101345340814,0.337991548894376
"Transylvania",2017,0.142263285884261,0.0832975853283212,0.230011980413109
"Tyrrell",2017,0.154637740359754,0.0716542065507852,0.28569892548618
"Union",2017,0.104438362044912,0.0670881940158329,0.156695557020185
"Vance",2017,0.148886881380949,0.0876574915801361,0.233958177035149
"Wake",2017,0.135793127212525,0.0920459991892167,0.189298742563962
"Warren",2017,0.114094823556928,0.067764488155466,0.177833546958144
"Washington",2017,0.159793774369095,0.0934737368401049,0.255659209720611
"Watauga",2017,0.120854689003744,0.0721559091547286,0.191223739024925
"Wayne",2017,0.141647278567984,0.0923703628645178,0.207737214507572
"Wilkes",2017,0.17470911405194,0.116084698258719,0.251071298240302
"Wilson",2017,0.129679045742463,0.0842002502860983,0.190019585652783
"Yadkin",2017,0.141632750900068,0.0922797802401425,0.207851182166661
"Yancey",2017,0.170600056129458,0.101182578224527,0.275234581539278
"Alamance",2018,0.160500664407181,0.106037926063422,0.230207903551611
"Alexander",2018,0.286446864032236,0.18366949009807,0.418218781362267
"Alleghany",2018,0.240976837063972,0.135925129199452,0.388235915585425
"Anson",2018,0.163746641289744,0.100100806156013,0.248713108331065
"Ashe",2018,0.292943530378484,0.174318273322092,0.457076100819171
"Avery",2018,0.336502494321825,0.213135187985519,0.497377507914169
"Beaufort",2018,0.263827862701281,0.177561618344351,0.379097382262147
"Bertie",2018,0.175646757585051,0.107363631324946,0.269518394810653
"Bladen",2018,0.255648162602299,0.171929590973987,0.36184049070669
"Brunswick",2018,0.282893946710524,0.171015118933187,0.431839512488827
"Buncombe",2018,0.162438547043279,0.104327240019565,0.25541186375436
"Burke",2018,0.231865824612061,0.152641160140069,0.33597110716568
"Cabarrus",2018,0.149462544663113,0.0982231188531538,0.222382138362035
"Caldwell",2018,0.242567921582561,0.157131949662405,0.350797317176405
"Camden",2018,0.149615260112785,0.0676311595637007,0.273163560844881
"Carteret",2018,0.235245639350973,0.145600347968844,0.363114162829749
"Caswell",2018,0.17029508141516,0.10369503140841,0.256901973743924
"Catawba",2018,0.203482265201378,0.131253183513258,0.299337854628183
"Chatham",2018,0.161361626126221,0.111132696921763,0.222911019886163
"Cherokee",2018,0.260343850047944,0.132948803725231,0.459146321180958
"Chowan",2018,0.126112562120749,0.0589766821611169,0.229447430570674
"Clay",2018,0.315086326073276,0.151075408228452,0.551044878343665
"Cleveland",2018,0.220914004192091,0.137000768839812,0.335744911167814
"Columbus",2018,0.318697793479694,0.212863103473392,0.450915616511515
"Craven",2018,0.176594095684594,0.11507949050159,0.26183679651391
"Cumberland",2018,0.132380923979226,0.0916692891760944,0.183239959354345
"Currituck",2018,0.173025218803312,0.0737727422087571,0.317528598367662
"Dare",2018,0.26511282044718,0.129692588328507,0.44059885892995
"Davidson",2018,0.178153234345502,0.121455466318937,0.252088722712721
"Davie",2018,0.198563515537425,0.13048366355843,0.293324934817307
"Duplin",2018,0.18377570740353,0.120958720338827,0.269365477370819
"Durham",2018,0.16361795979245,0.112260605573864,0.230140320036329
"Edgecombe",2018,0.124966851563048,0.077610562912808,0.184464287572584
"Forsyth",2018,0.13840204667135,0.0913090075377425,0.200294966151929
"Franklin",2018,0.156508831074194,0.106906086496824,0.221634669072138
"Gaston",2018,0.215763731569153,0.133834020446669,0.326541303700907
"Gates",2018,0.126252914403749,0.0591301174503734,0.225923578405283
"Graham",2018,0.277102015151194,0.142050521521945,0.472363075737419
"Granville",2018,0.187454476909561,0.124435182153939,0.268365208248346
"Greene",2018,0.165487347867858,0.102275493513243,0.250430293807617
"Guilford",2018,0.126240292927568,0.0865016470894928,0.184329364173463
"Halifax",2018,0.151055959372183,0.100438152716351,0.219218707698784
"Harnett",2018,0.207295157777205,0.146213429595127,0.277715890688219
"Haywood",2018,0.24040923169267,0.149892437059203,0.371184469198037
