"county","year","mean","lwr95","upr95"
"Alamance",2016,0.00214856549017205,0.00137695788557292,0.00313764500641925
"Alexander",2016,0.00164232467655486,0.000960605001972517,0.00261685509761649
"Alleghany",2016,0.00114575091239874,0.000566279071186939,0.00201383135446256
"Anson",2016,0.00186722967944914,0.00103813632777416,0.0030588822498342
"Ashe",2016,0.00112843023405473,0.000567429284879821,0.0019776860433759
"Avery",2016,0.00123304377672282,0.000689755150981121,0.00205629037359301
"Beaufort",2016,0.00197785487000317,0.00112778268318811,0.00316800775112327
"Bertie",2016,0.00172439848543455,0.000911121363005363,0.00295286804719867
"Bladen",2016,0.00164181456717125,0.000936486094805185,0.00264813549012381
"Brunswick",2016,0.00347684097755806,0.0020696344968902,0.00553131709509836
"Buncombe",2016,0.00227464887602564,0.00142039333329233,0.00339639008103435
"Burke",2016,0.00158600215965567,0.00101777331099299,0.00234671236456974
"Cabarrus",2016,0.00280121676376567,0.00191374361397315,0.00401123558082561
"Caldwell",2016,0.00167418505904607,0.00104875377860618,0.00254149071541497
"Camden",2016,0.00293303244007207,0.00127947207096897,0.00567437518214373
"Carteret",2016,0.00242785731169855,0.00134674036358342,0.00401255740304037
"Caswell",2016,0.00138751184502426,0.000757090595415103,0.00234211037082907
"Catawba",2016,0.00195032990579202,0.00128421348380036,0.00285489206387557
"Chatham",2016,0.00183329277299109,0.00114408840960363,0.00275284157700786
"Cherokee",2016,0.00107217142114676,0.000443433184383717,0.00215013149060339
"Chowan",2016,0.00242030814394287,0.00104276948428817,0.0047719259345396
"Clay",2016,0.00114662333748026,0.000420320824028882,0.0024881653997446
"Cleveland",2016,0.00137555202584952,0.000815862221839689,0.0021246466310953
"Columbus",2016,0.00211953903553246,0.001234472922576,0.00341484495936906
"Craven",2016,0.00287067793457257,0.00175846930398043,0.00445519344722259
"Cumberland",2016,0.00262072243225482,0.00176758665900793,0.00371954634517546
"Currituck",2016,0.00285007546173773,0.00125182228112869,0.0056085562467206
"Dare",2016,0.00225933388225231,0.00105900695158189,0.00409715146713368
"Davidson",2016,0.00236667796081955,0.00160174999229112,0.00334902026809312
"Davie",2016,0.00252960061312853,0.00156520793860851,0.00383353382704548
"Duplin",2016,0.00178275272368983,0.00100150523744036,0.00290309413240879
"Durham",2016,0.00196045934285639,0.0012497580832404,0.00291570581912943
"Edgecombe",2016,0.00225180361040315,0.00131517554449793,0.0036399510132884
"Forsyth",2016,0.00261551547313496,0.00182002972316109,0.00369546493054555
"Franklin",2016,0.00208696298890366,0.00124480259815739,0.00323761203348312
"Gaston",2016,0.00254309168623061,0.00165931044822777,0.00373127377082809
"Gates",2016,0.00350787845779046,0.00165910114419087,0.00658798851716883
"Graham",2016,0.000937613788507585,0.000376170901556086,0.00188710691702513
"Granville",2016,0.00207287014142307,0.00122735445736141,0.00322121919356779
"Greene",2016,0.00168128748752069,0.000885144874724867,0.00288521534961003
"Guilford",2016,0.00314722150788875,0.00219226173900267,0.00438412746080122
"Halifax",2016,0.00222040398014564,0.00131342984962732,0.00347716261782819
"Harnett",2016,0.0023076298963551,0.0015008065172518,0.00337369795026293
