"county","year","mean","lwr95","upr95"
"Alamance",2016,0.0867240444151812,0.0621912343402316,0.116939382425122
"Alexander",2016,0.0729822099443965,0.049819315314403,0.10413052620724
"Alleghany",2016,0.039197106409162,0.0223666833904187,0.0635254530152266
"Anson",2016,0.0738502871263403,0.047365724076665,0.109218520399707
"Ashe",2016,0.0723643973175887,0.0467642946658014,0.107145417187907
"Avery",2016,0.0715921750175996,0.0472189907852417,0.102904786279433
"Beaufort",2016,0.118936041487244,0.0776819758498502,0.173825468680558
"Bertie",2016,0.072463705031957,0.0444496851938851,0.111022003504461
"Bladen",2016,0.0818414602084638,0.054148631633108,0.119273201705044
"Brunswick",2016,0.0940995318050461,0.0590348417636502,0.141652614058796
"Buncombe",2016,0.075084016014365,0.0497984590766283,0.107214537450458
"Burke",2016,0.115434403968962,0.0816269914519757,0.155127250407155
"Cabarrus",2016,0.0722423648464464,0.0528827531051728,0.0977057253506292
"Caldwell",2016,0.112927105457022,0.080671629678097,0.154115229961262
"Camden",2016,0.0631018745386141,0.032274370996429,0.112071351867583
"Carteret",2016,0.105193415592622,0.0654086947532466,0.15760539055195
"Caswell",2016,0.114963819654955,0.0747286556002944,0.168254017592801
"Catawba",2016,0.0915924214004811,0.0657158377225934,0.125332529005587
"Chatham",2016,0.0905754505540245,0.0635964678270108,0.125011093286037
"Cherokee",2016,0.0655391879490732,0.0354078609159284,0.110839388723002
"Chowan",2016,0.0304677855642937,0.015005505847117,0.0560269552073119
"Clay",2016,0.0570226753971523,0.0277570073094695,0.105105830537746
"Cleveland",2016,0.106025144225016,0.0729151965391963,0.147961880860904
"Columbus",2016,0.0901531541837549,0.0596304570523288,0.131487119058206
"Craven",2016,0.127032473462842,0.0832721992787014,0.186380505502681
"Cumberland",2016,0.0670707356872111,0.0476647395217409,0.090635844940267
"Currituck",2016,0.077825356801072,0.0409763871197683,0.13685296840539
"Dare",2016,0.0897422637315677,0.0512006954800455,0.145738120624859
"Davidson",2016,0.0906415465692743,0.067060442806505,0.120713913048057
"Davie",2016,0.074743300723142,0.0517609914488876,0.105001076426334
"Duplin",2016,0.0568154549277412,0.0362488205756998,0.0848276397822928
"Durham",2016,0.0952959848094153,0.0669615537278899,0.132039726379236
"Edgecombe",2016,0.0852910289035059,0.0550673351638237,0.12538008842163
"Forsyth",2016,0.0797441236225063,0.0594083132596139,0.107201859471178
"Franklin",2016,0.0867432423016639,0.057809256399127,0.125196770022451
"Gaston",2016,0.0933414361399964,0.0656214045458589,0.131550587009488
"Gates",2016,0.0593563568560768,0.0315526637672263,0.104527478210614
"Graham",2016,0.0238111457100767,0.0116146397102688,0.0427989261682279
"Granville",2016,0.100485676297124,0.0668343995616736,0.144785583088569
"Greene",2016,0.0774405308493802,0.0471442015184857,0.121469120496124
"Guilford",2016,0.0702798825558107,0.0512549668340676,0.0951972412972739
"Halifax",2016,0.104565756588333,0.068779127551413,0.150815681937883
"Harnett",2016,0.0619990680408871,0.0438845631228428,0.0855522863186759
"Haywood",2016,0.111831434201471,0.0712295579936845,0.163564768687647
"Henderson",2016,0.0506214921807973,0.0325441331269431,0.0746096335745746
"Hertford",2016,0.0643551384164019,0.0368607455708889,0.103471317071043
"Hoke",2016,0.0693944965565966,0.0458452211840723,0.100272946061491
"Hyde",2016,0.0744092474626466,0.0416203169506465,0.124204821581854
"Iredell",2016,0.0745533901023718,0.0549209690523111,0.0982828729132606
"Jackson",2016,0.0702678229074127,0.0421652411152181,0.110555323473787
"Johnston",2016,0.087831099193925,0.0602926081600487,0.124759146621989
"Jones",2016,0.101463093440031,0.0626531249978513,0.156142321966356
"Lee",2016,0.0658076521315212,0.0439232613195891,0.0932974029924191
"Lenoir",2016,0.085868178751027,0.0560796910237159,0.12704654378817
"Lincoln",2016,0.0880445049724156,0.0627929391405931,0.119369750457741
"Macon",2016,0.077709341984008,0.0506242140593775,0.110368751079062
"Madison",2016,0.026601850965774,0.0138911037667532,0.0465773411233441
"Martin",2016,0.0762109388460799,0.0459773099807144,0.117837493335743
"McDowell",2016,0.147645344994507,0.0974683422182219,0.213691217672413
"Mecklenburg",2016,0.0564056015611727,0.0400209423448069,0.076192985108853
"Mitchell",2016,0.069668561151439,0.0431724361994604,0.102673045912345
"Montgomery",2016,0.0912078832386864,0.0633252133211528,0.125920490055961
"Moore",2016,0.0897203495393525,0.0650047252900212,0.118521901506359
"Nash",2016,0.0826021209986231,0.0559311615976271,0.119481669628512
"New Hanover",2016,0.0838516410396827,0.048535998328601,0.132391410601476
"Northampton",2016,0.0780237122491146,0.0464127217555638,0.122222638576934
"Onslow",2016,0.0730693708391748,0.046893207732887,0.10986792331986
"Orange",2016,0.0920377338602874,0.0632404268295665,0.127293975161424
"Pamlico",2016,0.17011486456445,0.0980579865945563,0.271136254921307
"Pasquotank",2016,0.0780881680423488,0.0423339264572306,0.133509929774193
"Pender",2016,0.0699180514065727,0.0462800164177473,0.100009986464515
"Perquimans",2016,0.0583226231540122,0.0298399820427514,0.105477117357491
"Person",2016,0.101685817981488,0.0683927255942203,0.144129770724508
"Pitt",2016,0.113771257127513,0.0770178795942017,0.161332395872412
"Polk",2016,0.0371661515991163,0.0212808894644435,0.0603382739179832
"Randolph",2016,0.102233721016122,0.0743091050316461,0.135367679526624
"Richmond",2016,0.11650728788239,0.0833565643690457,0.157103383592027
"Robeson",2016,0.10623930106549,0.0733791688085268,0.147624616787571
"Rockingham",2016,0.0856952388238292,0.0604944790526081,0.120197664772506
"Rowan",2016,0.0969848897422303,0.0715678343582269,0.129889657865836
